ITEMÎ≤àÌò∏	ITEM_NAME(K)	ITEM_TYPE	SUB_TYPE	SIZE	ANTI_FLAG	FLAG	ITEM_WEAR	IMMUNE	ÏÉÅÏ†ê ÌåêÎß§Í∞Ä	ÏÉÅÏ†êÏóêÏÑú ÏÇ¥ Îïå	REFINE	REFINESET	MAGIC_PCT	LIMIT_TYPE0	LIMIT_VALUE0	LIMIT_TYPE1	LIMIT_VALUE1	ADDON_TYPE0	ADDON_VALUE0	ADDON_TYPE1	ADDON_VALUE1	ADDON_TYPE2	ADDON_VALUE2	VALUE0	VALUE1	VALUE2	VALUE3	VALUE4	VALUE5	Specular	SOCKET	ATTU_ADDON
1	µ∑≤Ÿ∑ØπÃ	ITEM_ELK	0	1	NONE	NONE	NONE		0	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	0	0	0	0	0	0	0	0
2	«—±ππ´Ω÷πˆ¡Ø	ITEM_NONE	0	1	NONE	NONE	NONE		0	0	0	0	0	LIMIT_NONE	0	LIMIT_NONE	0	APPLY_NONE	0	APPLY_NONE	0	APPLY_NONE	0	0	0	0	0	0	0	0	0	0
10	µµ+0	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON		0	0	11	1	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	22	APPLY_NONE	0	APPLY_NONE	0	0	15	19	13	15	0	0	1	0
11	µµ+1	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON		100	100	12	2	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	22	APPLY_NONE	0	APPLY_NONE	0	0	15	19	13	15	7	0	1	0
12	µµ+2	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON		100	100	13	3	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	22	APPLY_NONE	0	APPLY_NONE	0	0	15	19	13	15	14	0	1	0
13	µµ+3	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON		100	150	14	4	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	22	APPLY_NONE	0	APPLY_NONE	0	0	15	19	13	15	21	0	1	0
14	µµ+4	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON		100	150	15	5	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	22	APPLY_NONE	0	APPLY_NONE	0	0	15	19	13	15	28	30	1	0
15	µµ+5	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON		100	200	16	6	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	22	APPLY_NONE	0	APPLY_NONE	0	0	15	19	13	15	35	40	1	0
16	µµ+6	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON		100	250	17	7	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	22	APPLY_NONE	0	APPLY_NONE	0	0	15	19	13	15	42	50	1	0
17	µµ+7	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON		100	350	18	8	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	22	APPLY_NONE	0	APPLY_NONE	0	0	15	19	13	15	49	65	1	0
18	µµ+8	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON		100	500	19	9	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	22	APPLY_NONE	0	APPLY_NONE	0	0	15	19	13	15	56	80	1	0
19	µµ+9	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON		100	750	0	0	15	LEVEL	0	LIMIT_NONE	0	APPLY_ATT_SPEED	22	APPLY_NONE	0	APPLY_NONE	0	0	15	19	13	15	63	100	1	0
20	¿Â∞À+0	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON		400	400	21	1	15	LEVEL	5	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	0	13	15	15	19	0	0	1	0
21	¿Â∞À+1	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON		400	500	22	2	15	LEVEL	5	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	0	13	15	15	19	7	0	1	0
22	¿Â∞À+2	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON		400	500	23	3	15	LEVEL	5	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	0	13	15	15	19	14	0	1	0
23	¿Â∞À+3	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON		400	500	24	4	15	LEVEL	5	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	0	13	15	15	19	21	0	1	0
24	¿Â∞À+4	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON		400	500	25	5	15	LEVEL	5	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	0	13	15	15	19	28	30	1	0
25	¿Â∞À+5	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON		400	1000	26	6	15	LEVEL	5	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	0	13	15	15	19	35	40	1	0
26	¿Â∞À+6	ITEM_WEAPON	WEAPON_SWORD	2	ANTI_MUDANG	ITEM_TUNABLE	WEAR_WEAPON		400	1000	27	7	15	LEVEL	5	LIMIT_NONE	0	APPLY_ATT_SPEED	27	APPLY_NONE	0	APPLY_NONE	0	0	13	15	15	19	42	50	1	0
